ra,dec,lsst_oid,ztf_id,redshift,broad_line,narrow_line,sdss_type,desi_type,sdss_gauss_ratio,desi_gauss_ratio,broad_pct_change,cl_verdict,mag_ranges
150.2819348,1.4108813,313994141002367046,ZTF19aacymxd,1.633738,Mg II,,unknown,unknown,,,145.51203743459857,candidate CLAGN (broad-line brightening; broad flux change +145.5%),"ZTF_r: min=20.122, max=20.122, median=20.122, N=1, delta=0.000 | LSST_u: min=19.860, max=20.179, median=19.986, N=27, delta=0.319 | LSST_g: min=19.618, max=20.101, median=19.685, N=222, delta=0.484 | LSST_r: min=19.582, max=19.830, median=19.653, N=219, delta=0.248 | LSST_i: min=19.317, max=19.983, median=19.374, N=408, delta=0.666 | LSST_z: min=19.248, max=19.585, median=19.297, N=181, delta=0.337 | SDSS_u: min=20.333, max=20.333, median=20.333, N=1, delta=0.000 | SDSS_g: min=20.142, max=20.142, median=20.142, N=1, delta=0.000 | SDSS_r: min=20.121, max=20.121, median=20.121, N=1, delta=0.000 | SDSS_i: min=19.856, max=19.856, median=19.856, N=1, delta=0.000 | SDSS_z: min=19.862, max=19.862, median=19.862, N=1, delta=0.000"
148.7619139,1.9646874000000003,170046091649089715,ZTF23abttyka,1.138459,Mg II,,unknown,unknown,,,-52.5481869147366,candidate CLAGN (broad-line fading; broad flux change -52.5%),"ZTF_g: min=20.418, max=21.081, median=20.768, N=4, delta=0.664 | ZTF_r: min=21.137, max=21.704, median=21.420, N=2, delta=0.567 | LSST_u: min=19.484, max=19.707, median=19.571, N=48, delta=0.223 | LSST_g: min=19.422, max=19.711, median=19.522, N=35, delta=0.289 | LSST_r: min=19.269, max=19.436, median=19.320, N=12, delta=0.167 | LSST_i: min=19.430, max=19.627, median=19.478, N=18, delta=0.197 | LSST_z: min=19.597, max=19.639, median=19.617, N=6, delta=0.043 | LSST_y: min=19.479, max=19.566, median=19.523, N=2, delta=0.087 | SDSS_u: min=19.134, max=19.199, median=19.183, N=4, delta=0.064 | SDSS_g: min=19.056, max=19.122, median=19.090, N=4, delta=0.066 | SDSS_r: min=18.865, max=18.905, median=18.885, N=4, delta=0.040 | SDSS_i: min=18.856, max=19.004, median=18.932, N=4, delta=0.148 | SDSS_z: min=18.908, max=19.068, median=18.982, N=4, delta=0.161"
150.54460432260004,2.5072776028518065,314011777330315515,ZTF20actkrbd,1.159956,Mg II,,unknown,unknown,,,181.20511490643395,candidate CLAGN (broad-line brightening; broad flux change +181.2%),"ZTF_g: min=19.665, max=21.478, median=20.482, N=137, delta=1.814 | ZTF_r: min=19.419, max=22.972, median=20.383, N=144, delta=3.552 | ZTF_i: min=20.518, max=23.977, median=21.745, N=28, delta=3.460 | LSST_u: min=19.668, max=19.796, median=19.680, N=6, delta=0.127 | LSST_g: min=19.561, max=20.075, median=19.704, N=96, delta=0.514 | LSST_r: min=19.297, max=19.739, median=19.442, N=108, delta=0.442 | LSST_i: min=19.259, max=19.568, median=19.325, N=302, delta=0.308 | LSST_z: min=19.306, max=19.620, median=19.427, N=53, delta=0.313 | SDSS_u: min=19.800, max=19.800, median=19.800, N=1, delta=0.000 | SDSS_g: min=19.844, max=19.844, median=19.844, N=1, delta=0.000 | SDSS_r: min=19.451, max=19.451, median=19.451, N=1, delta=0.000 | SDSS_i: min=19.382, max=19.382, median=19.382, N=1, delta=0.000 | SDSS_z: min=19.192, max=19.192, median=19.192, N=1, delta=0.000"
149.59178020353136,1.1350923073733898,170028512366297114,ZTF23aaayeyd,2.17818,Mg II,,unknown,unknown,,,-91.29117567378289,candidate CLAGN (broad-line fading; broad flux change -91.3%),"ZTF_g: min=20.502, max=21.662, median=21.462, N=12, delta=1.160 | ZTF_r: min=21.220, max=22.224, median=21.561, N=11, delta=1.004 | LSST_g: min=20.944, max=21.404, median=21.126, N=67, delta=0.460 | LSST_r: min=21.080, max=21.408, median=21.244, N=2, delta=0.328 | LSST_i: min=21.011, max=21.268, median=21.083, N=3, delta=0.257 | LSST_z: min=20.618, max=20.782, median=20.708, N=10, delta=0.164 | SDSS_u: min=20.809, max=21.549, median=21.106, N=6, delta=0.740 | SDSS_g: min=20.505, max=21.190, median=20.687, N=6, delta=0.685 | SDSS_r: min=20.262, max=21.066, median=20.706, N=6, delta=0.804 | SDSS_i: min=20.326, max=20.996, median=20.667, N=6, delta=0.670 | SDSS_z: min=19.881, max=20.712, median=20.325, N=6, delta=0.831"
317.8025121618182,-6.104063574545454,170472775594541300,ZTF22aallfnw,0.9912842,Mg II,,unknown,unknown,,,196.87500285473706,candidate CLAGN (broad-line brightening; broad flux change +196.9%),"ZTF_g: min=20.254, max=20.707, median=20.527, N=21, delta=0.453 | ZTF_r: min=19.716, max=20.284, median=20.098, N=33, delta=0.568 | ZTF_i: min=19.921, max=19.921, median=19.921, N=1, delta=0.000 | LSST_z: min=19.418, max=19.484, median=19.461, N=7, delta=0.067 | SDSS_u: min=20.044, max=20.238, median=20.067, N=3, delta=0.194 | SDSS_g: min=19.575, max=19.681, median=19.576, N=3, delta=0.106 | SDSS_r: min=19.137, max=19.275, median=19.140, N=3, delta=0.138 | SDSS_i: min=18.988, max=19.125, median=18.994, N=3, delta=0.137 | SDSS_z: min=18.968, max=19.125, median=18.998, N=3, delta=0.157"
149.872794626884,3.1837836417979464,314003015866515506,ZTF19aadevks,0.1244038,Hβ,[O III] 5007,1.5,1.2,1.2990101621218304,2.2798590729502157,91.82714182113082,turn-on (brightening): Type 1.5 → Type 1.2,"ZTF_g: min=18.510, max=23.984, median=19.493, N=277, delta=5.473 | ZTF_r: min=18.812, max=22.944, median=19.591, N=255, delta=4.132 | ZTF_i: min=19.446, max=22.061, median=20.397, N=34, delta=2.615 | LSST_g: min=18.099, max=18.486, median=18.326, N=148, delta=0.387 | LSST_r: min=17.629, max=18.080, median=17.963, N=117, delta=0.451 | LSST_i: min=17.257, max=17.594, median=17.472, N=154, delta=0.337 | LSST_z: min=17.056, max=17.596, median=17.442, N=123, delta=0.539 | LSST_y: min=17.173, max=17.339, median=17.288, N=5, delta=0.166 | SDSS_u: min=18.166, max=18.429, median=18.302, N=7, delta=0.262 | SDSS_g: min=17.490, max=17.735, median=17.598, N=7, delta=0.245 | SDSS_r: min=16.717, max=17.015, median=16.823, N=7, delta=0.299 | SDSS_i: min=16.217, max=16.483, median=16.339, N=7, delta=0.266 | SDSS_z: min=15.970, max=16.226, median=16.101, N=7, delta=0.256"
150.11431852346914,2.9975416574287483,170028500588167170,ZTF18adakzht,0.3389037,Hβ,[O III] 5007,1.2,1.5,2.3354449521378324,1.9574838630611782,192.01879605200338,turn-off (dimming): Type 1.2 → Type 1.5,"ZTF_g: min=18.918, max=20.558, median=19.281, N=373, delta=1.640 | ZTF_r: min=18.148, max=20.142, median=19.075, N=1211, delta=1.994 | ZTF_i: min=19.082, max=21.186, median=19.571, N=47, delta=2.104 | LSST_u: min=19.244, max=19.372, median=19.297, N=47, delta=0.127 | LSST_g: min=18.779, max=19.398, median=19.126, N=148, delta=0.619 | LSST_r: min=18.169, max=18.780, median=18.536, N=127, delta=0.611 | LSST_i: min=18.097, max=18.636, median=18.414, N=146, delta=0.539 | LSST_z: min=17.385, max=17.884, median=17.530, N=39, delta=0.499 | LSST_y: min=17.707, max=18.063, median=17.989, N=11, delta=0.356 | SDSS_u: min=19.275, max=19.309, median=19.295, N=4, delta=0.034 | SDSS_g: min=18.609, max=18.635, median=18.621, N=4, delta=0.027 | SDSS_r: min=18.081, max=18.089, median=18.082, N=4, delta=0.008 | SDSS_i: min=17.916, max=17.934, median=17.926, N=4, delta=0.018 | SDSS_z: min=17.271, max=17.300, median=17.285, N=4, delta=0.029"
150.12161855,1.02920405,313967766838706300,ZTF20aaiaenp,1.057004,Mg II,,unknown,unknown,,,123.97482555383341,candidate CLAGN (broad-line brightening; broad flux change +124.0%),"ZTF_r: min=20.319, max=20.447, median=20.383, N=2, delta=0.128 | LSST_u: min=18.989, max=19.157, median=19.085, N=5, delta=0.168 | LSST_g: min=18.870, max=19.686, median=18.929, N=88, delta=0.816 | LSST_r: min=18.686, max=19.189, median=18.818, N=77, delta=0.504 | LSST_i: min=18.665, max=18.932, median=18.729, N=176, delta=0.267 | LSST_z: min=18.619, max=18.882, median=18.675, N=98, delta=0.264 | SDSS_u: min=18.525, max=18.703, median=18.603, N=11, delta=0.178 | SDSS_g: min=18.450, max=18.617, median=18.470, N=11, delta=0.167 | SDSS_r: min=18.261, max=18.432, median=18.301, N=11, delta=0.171 | SDSS_i: min=18.213, max=18.410, median=18.243, N=11, delta=0.197 | SDSS_z: min=18.114, max=18.258, median=18.137, N=11, delta=0.144"
149.09015927555322,2.816677088769538,170028500558282784,ZTF20acpzesv,0.9521613,Mg II,,unknown,unknown,,,197.93954141026472,candidate CLAGN (broad-line brightening; broad flux change +197.9%),"ZTF_g: min=20.509, max=22.682, median=21.176, N=21, delta=2.173 | ZTF_r: min=20.392, max=21.776, median=21.134, N=20, delta=1.384 | LSST_u: min=19.318, max=19.515, median=19.384, N=24, delta=0.197 | LSST_g: min=19.185, max=19.548, median=19.238, N=92, delta=0.363 | LSST_r: min=18.942, max=19.633, median=19.151, N=99, delta=0.691 | LSST_i: min=19.093, max=19.772, median=19.198, N=105, delta=0.680 | LSST_z: min=19.081, max=19.886, median=19.204, N=18, delta=0.806 | LSST_y: min=19.406, max=19.406, median=19.406, N=1, delta=0.000 | SDSS_u: min=19.658, max=19.872, median=19.798, N=4, delta=0.214 | SDSS_g: min=19.461, max=19.629, median=19.475, N=4, delta=0.168 | SDSS_r: min=19.218, max=19.512, median=19.254, N=4, delta=0.294 | SDSS_i: min=19.258, max=19.449, median=19.278, N=4, delta=0.191 | SDSS_z: min=19.132, max=19.275, median=19.186, N=4, delta=0.143"
150.81791611785462,1.4088572647069415,313998569523118217,ZTF20aadakji,0.809018611907959,Hβ,[O III] 5007,1.2,1.0,3.9724422986453094,12.053739088036279,235.9394231780715,turn-on (brightening): Type 1.2 → Type 1.0,"ZTF_g: min=20.207, max=22.269, median=20.916, N=32, delta=2.062 | ZTF_r: min=20.431, max=23.211, median=21.019, N=38, delta=2.780 | ZTF_i: min=21.987, max=24.171, median=22.260, N=5, delta=2.185 | LSST_g: min=21.698, max=22.420, median=21.825, N=87, delta=0.722 | LSST_r: min=21.596, max=22.860, median=21.716, N=81, delta=1.264 | LSST_i: min=21.304, max=21.659, median=21.395, N=52, delta=0.355 | LSST_z: min=20.968, max=21.330, median=21.009, N=5, delta=0.363 | SDSS_u: min=22.336, max=22.336, median=22.336, N=1, delta=0.000 | SDSS_g: min=21.274, max=21.274, median=21.274, N=1, delta=0.000 | SDSS_r: min=21.195, max=21.195, median=21.195, N=1, delta=0.000 | SDSS_i: min=20.936, max=20.936, median=20.936, N=1, delta=0.000 | SDSS_z: min=20.332, max=20.332, median=20.332, N=1, delta=0.000"
148.62673323999894,2.25729764,170028500537835652,ZTF25aadzjcs,2.047659,Mg II,,unknown,unknown,,,-85.45962637873518,candidate CLAGN (broad-line fading; broad flux change -85.5%),"ZTF_g: min=21.146, max=23.954, median=21.449, N=14, delta=2.808 | ZTF_r: min=20.343, max=23.606, median=21.559, N=10, delta=3.263 | LSST_u: min=19.607, max=19.724, median=19.661, N=44, delta=0.117 | LSST_g: min=19.568, max=19.879, median=19.689, N=219, delta=0.312 | LSST_r: min=19.504, max=19.829, median=19.612, N=197, delta=0.326 | LSST_i: min=19.453, max=20.104, median=19.510, N=245, delta=0.651 | LSST_z: min=19.300, max=19.691, median=19.554, N=15, delta=0.391 | SDSS_u: min=19.914, max=19.950, median=19.932, N=2, delta=0.035 | SDSS_g: min=19.736, max=19.857, median=19.797, N=2, delta=0.120 | SDSS_r: min=19.667, max=19.794, median=19.731, N=2, delta=0.128 | SDSS_i: min=19.541, max=19.712, median=19.627, N=2, delta=0.171 | SDSS_z: min=19.345, max=19.401, median=19.373, N=2, delta=0.056"
149.17641391714287,2.098458107619048,313871015525482644,ZTF20acnywwx,1.03321,Mg II,,unknown,unknown,,,334.39888859167,candidate CLAGN (broad-line brightening; broad flux change +334.4%),"ZTF_g: min=19.856, max=20.529, median=20.097, N=48, delta=0.673 | ZTF_r: min=19.610, max=20.343, median=19.896, N=57, delta=0.733 | LSST_u: min=19.322, max=19.476, median=19.394, N=63, delta=0.154 | LSST_g: min=19.218, max=19.386, median=19.301, N=241, delta=0.168 | LSST_r: min=18.960, max=19.227, median=19.045, N=218, delta=0.267 | LSST_i: min=19.058, max=19.276, median=19.099, N=427, delta=0.218 | LSST_z: min=19.176, max=19.486, median=19.253, N=242, delta=0.310 | LSST_y: min=19.088, max=19.377, median=19.115, N=8, delta=0.289 | SDSS_u: min=19.630, max=19.638, median=19.634, N=2, delta=0.009 | SDSS_g: min=19.564, max=19.567, median=19.565, N=2, delta=0.003 | SDSS_r: min=19.246, max=19.255, median=19.250, N=2, delta=0.010 | SDSS_i: min=19.354, max=19.355, median=19.354, N=2, delta=0.001 | SDSS_z: min=19.335, max=19.386, median=19.360, N=2, delta=0.051"
149.49793589171455,2.076624371707707,313875416677875727, ZTF20aadajmn,2.028977
