meanra,meandec
212.1152359,0.8042764
149.8727932,3.1837818
2.5619945,0.1391846
4.257901,30.070426
5.028384,45.133848
11.2083519,-8.0591063
12.46894,35.436805
12.624976,35.4368348
15.913292,47.5503
18.2992389,1.5951739
26.371489,28.705946
28.853979,2.471266
34.47318,-19.972092
34.740162,2.461193
35.812817,-5.317624
38.714227,2.774584
47.684888,32.658078
66.427416,-10.535333
113.92998,20.215779
118.9350398,19.3934154
120.834624,29.763564
123.570806,25.493102
124.148074,33.796856
129.477711,4.002007
134.863998,43.929443
143.825809,2.07099
144.242347,19.499183
151.046448,-3.613936
152.664006,-12.737412
155.107655,41.561772
156.1050663,37.6509773
167.121585,64.858964
174.278534,1.663312
177.603194,52.873391
180.15749,44.177165
181.2458279,15.5871386
183.858915,3.842626
184.860032,32.023781
185.403099,34.59464
188.569167,42.559662
191.5721658,28.3427343
192.080372,37.107331
192.926178,24.076456
193.365443,14.915562
194.984234,3.409168
194.992985,7.223641
202.796024,22.656575
204.008817,23.63965
205.4533056,37.013085
206.738679,36.547599
206.858147,11.600358
215.7201,30.274046
218.187173,30.243154
219.800624,37.085547
220.21153,52.079437
220.51178,43.619104
221.653773,0.782385
222.201328,53.340535
225.030254,56.60022
227.421616,18.766963
228.182002,19.979198
228.771345,4.170062
229.643977,-1.090381
230.847407,49.377265
233.355747,50.192888
234.6362919,46.1263604
235.017706,35.847258
236.681566,2.138313
237.316978,41.452011
238.2497758,21.0463772
243.0815213,46.4951651
243.249306,42.32787		
244.439728,16.548838
248.321942,54.399034
257.828352,65.503293
260.736568,32.240587
298.14922,49.97055
310.077349,10.995846
310.764753,-1.023893
333.436661,21.787462
333.860942,6.253339
336.760588,6.224071
348.418519,30.217598
349.263518,29.416571
353.578057,32.08145
358.545135,35.605134